active	author	constitution	description	db_id	locale	name	id	short_name	source	subtopic	topic_id	topic_name	tweet
1				44	en	Formation of a political government with some technocratً ministers	44	political government +technocrats			7	Government	
1				45	en	Elimination of political sectarianism	45	Eliminate sectarianism			7	Government	
1				46	en	Maintaining a sectarian political system while introducing rotation among sects	46	sectarian system + rotation			7	Government	
1				47	en	Early parliamentary elections	47	Early parliamentary elections			7	Government	
1				48	en	New secular and proportional electoral law	48	secular + proportional electoral law			7	Government	
1				49	en	Creation of a Senate	49	Senate			7	Government	
1				50	en	Reduction of the number of MPs	50	number of MPs			7	Government	
1				51	en	Reduction of the number of ministers	51	number of ministers			7	Government	
1				52	en	Reduction of MPs and ministers’ salaries	52	MPs and ministers’ salaries			7	Government	
1				53	en	Reduction of President/PM/Speaker of the Parliament's salaries and pensions	53	salaries and pensions			7	Government	
1				54	en	Establish the principle of popular referendum	54	popular referendum			7	Government	
1				55	en	Separate MP positions from ministerial positions	55	MP & ministerial positions seperation			7	Government	
1				56	en	Abrogate mandatory consensual decision-making in the council of ministers	56	consensual decision-making			7	Government	
1				57	en	Implementing administrative decentralization	57	administrative decentralization			7	Government	
1				58	en	Increase support for the National Poverty Target Program (NPTP)	58	NPTP			7	Government	
1				59	en	Transparent public tenders	59	public tenders			7	Government	
1				60	en	Improve public services through the concept of Digital Government	60	Digital Governance			7	Government	
1				61	en	Support volunteers of Civil Defence	61	Civil Defence			7	Government	
1				62	en	Crafting and implementing a defense strategy	62	defense strategy			7	Government	
1				63	en	Strengthening the role of the Civil Service Bureau	63	Civil Service Bureau			7	Government	
1				64	en	Improvement of the Illicit Enrichment Act	64	Illicit Enrichment Act			7	Government	
1				65	en	Enactment of a framework screening conflicts of interests and preventing them	65	conflicts of interests			7	Government	
1				66	en	Dissolution of regional investment entities and obsolete governmental authorities	66	regional investment entities			7	Government	
1				67	en	Recovery of banks’ returns on financial engineering schemes	67	banks’ returns			8	Economy	
1				68	en	Reduction of MPs and ministers’ retirement pensions	68	MPs and ministers’ retirement pensions			8	Economy	
1				69	en	Modification of the economic model to enhance the actual national production	69	economic model			8	Economy	
1				70	en	Fighting tax evasion	70	tax evasion			8	Economy	
1				71	en	Ending tax/tariff exemptions	71	tax/tariff exemptions			8	Economy	
1				72	en	National plan to support Lebanese products	72	support Lebanese products			8	Economy	
1				73	en	Mandate an international company to audit the State’s finances	73	External Audit			8	Economy	
1				74	en	Activation of the State’s internal audit	74	State’s internal audit			8	Economy	
1				75	en	Establishing proportional taxes on income	75	proportional  income taxes			8	Economy	
1				76	en	Establishing a progressive income tax	76	progressive income tax			8	Economy	
1				77	en	Tax increase on Banks profits and high net worth individuals	77	Tax on profits			8	Economy	
1				78	en	Reducing the rates of telecommunication services	78	telecommunication			8	Economy	
1				79	en	Increase taxes on tobacco and alcohol	79	taxes tobacco & alcohol			8	Economy	
1				80	en	Extraction of oil and gas	80	Extraction of oil and gas			8	Economy	
1				81	en	Allocation of our oil returns to reduce the public debt	81	oil returns			8	Economy	
1				82	en	Assessing the efficiency of the Lebanese public sector	82	public sector's efficiency			8	Economy	
1				83	en	Rethinking our monetary policy	83	The monetary policy			8	Economy	
1				84	en	Increase the minimum wage	84	The minimum wage			8	Economy	
1				85	en	Partial or total privatization of some public sector institutions	85	Privatization			8	Economy	
1				86	en	Increase funding for public schools	86	public schools			9	Education	
1				87	en	Increase the budget of the Lebanese University	87	Lebanese University			9	Education	
1				88	en	Intervention programs for high-risk children and youth	88	Intervention programs			9	Education	
1				89	en	Appoint a committee of scholars to write the Lebanese History from 1945 onward	89	Lebanese History			9	Education	
1				90	en	Assess the seriousness of high education institutions and investigate the alleged fraudulent grant of degrees	90	fraudulent  high education degrees			9	Education	
