issue_id,multichoice,fr_category,fr,fr_multichoice,en_category,en,en_multichoice,es_category,es,es_multichoice,length
12,1,Politiques Publiques,Augmenter le nombre de places en crèche,"['200 000', '250 000', '500 000', '600 000']",Public policies,Increase availability of space at day cares,"['200K', '250K', '500K', '600K']",Políticas Públicas,Aumentar el número de lugares de cuna,"['200 mil', '250 mil', '500 mil', '600 mil']",39
13,0,Politiques Publiques,Augmenter le nombre d'heures consacrées à l'enseignement du français en primaire et collège,,Public policies,Increase number of hours spent in French language education,,Políticas Públicas,Aumentar el número de horas dedicadas a la educación de lengua francesa,,91
14,0,Politiques Publiques,Supprimer toute forme de sélection à l'entrée de l'université,,Public policies,Eliminate university admission requirements,,Políticas Públicas,Eliminar la selección en la entrada de la universidad,,61
15,0,Politiques Publiques,Interdire le port du voile pour les accompagnatrices scolaires,,Public policies,Prohibit the wearing of the veil by school chaperones,,Políticas Públicas,Prohibir el uso del velo para los guías escolares,,62
16,0,Politiques Publiques,"Instaurer une garantie universelle des loyers se substituant aux cautions pour faciliter l’accès au logement, financée à moitié par l'Etat et à moitié par les propriétaires",,Public policies,"Introduce a universal rental guarantee replacing deposits to facilitate access to housing, financed equally by landlords and the State",,Políticas Públicas,"Establecer una garantía universal de rentas que sustituya las garantías para facilitar el acceso a la vivienda, financiadas por igual por los propietarios y el estado",,172
17,1,Politiques Publiques,Augmenter le nombre de logements sociaux,"['150 000', '200 000', '700 000 par an']",Public policies,Increase social housing,"['150K', '200K', '700K/year']",Políticas Públicas,Aumentar las viviendas sociales,"['150 mil', '200 mil', '700 mil/año']",40
18,0,Politiques Publiques,Abaisser l'âge de la retraite à 60 ans,,Public policies,Lower retirement age to 60,,Políticas Públicas,Reducir el la edad de jubilación a los 60 años,,38
19,0,Politiques Publiques,Assurer une pension de retraite minimum équivalente au SMIC,,Public policies,Ensure a minimum pension is equivalent to the minimum wage,,Políticas Públicas,Asegurar una jubilación mínima equivalente al salario mínimo,,59
20,1,Politiques Publiques,Augmenter l'âge de la retraite,"['64', '65']",Public policies,Increase the retirement age,"['64', '65']",Políticas Públicas,Aumentar la edad de jubilación,"['64', '65']",30
21,0,Politiques Publiques,Indexer le montant des retraites sur l’inflation,,Public policies,Index pensions to inflation,,Políticas Públicas,Indexar la pensión a la inflación,,48
22,0,Politiques Publiques,Créer des places en EHPAD et recruter du personnel,,Public policies,Create spaces in EHPAD (accommodation institutions for dependent senior) and recruit staff,,Políticas Públicas,Crear más espacios en EHPAD (instituciones de alojamiento para personas mayores dependientes) y reclutar más personal,,50
23,0,Politiques Publiques,Combler les déserts médicaux,,Public policies,Increase number of doctors in rural underserved areas,,Políticas Públicas,Aumentar el número de médicos en áreas rurales desatendidas,,28
24,1,Politiques Publiques,Créer des emplois dans les hôpitaux publics,"['25 000', '100 000', '250 000']",Public policies,Increase personnel in public hospitals,"['25k', '100k', '250k']",Políticas Públicas,Crear trabajos en los hospitales públicos,"['25 mil', '100 mil', '250 mil']",43
25,0,Politiques Publiques,Nationaliser les autoroutes,,Public policies,Nationalization of the highways,,Políticas Públicas,Nacionalizar las carreteras,,27
26,0,Politiques Publiques,Investir pour entretenir et reconstruire les lignes de chemin de fer locales,,Public policies,Invest to maintain and rebuild local railway lines,,Políticas Públicas,Invertir para mantener y reconstruir líneas ferroviarias locales,,76
27,0,Politiques Publiques,Supprimer les liaisons aériennes hors correspondance lorsqu'il existe une liaison ferroviaire de moins de quatre heures,,Public policies,Eliminate air routes when there is a rail connections taking less than 4 hours,,Políticas Públicas,Eliminar rutas aéreas cuando exista un enlace ferroviario de menos de cuatro horas,,119
28,0,Politiques Publiques,Instaurer une taxe sur les billets d'avion lorsqu'il existe un trajet ferroviaire comparable,,Public policies,Introduce a tax on airline tickets when there is a comparable rail route,,Políticas Públicas,Establecer un impuesto sobre los billetes de avión cuando exista una ruta ferroviaria comparable,,92
29,0,Politiques Publiques,Garantir la libre circulation des voitures en ville,,Public policies,Guarantee the free movement of cars in cities,,Políticas Públicas,Garantizar la libre circulación de autos en la ciudad,,51
30,0,Emploi & Economie,Mettre fin à la semaine de 35 heures,,Employment & Economy,End the 35-hour working week,,Empleo y Economía,Terminar la semana de las 35 horas,,36
31,0,Emploi & Economie,Réduire le temps de travail à 32 heures par semaine,,Employment & Economy,Reduce working hours to 32 hours per week,,Empleo y Economía,Reducir el tiempo de trabajo a las 32 horas de la semana,,51
32,0,Emploi & Economie,Allonger le congé paternité à la même durée que le congé maternité,,Employment & Economy,Increase paternity leave to match maternity leave,,Empleo y Economía,Alarga la licencia de paternidad al mismo tiempo que la licencia de maternidad,,66
33,0,Emploi & Economie,"Imposer un contrat de travail salarié pour les travailleurs des plateformes en ligne (livraison à domicile, véhicule avec chauffeur etc.)",,Employment & Economy,"Impose employment contracts for the workers of online platforms (home delivery, taxi drivers, etc)",,Empleo y Economía,"Imponer un contrato de trabajo para trabajadores de plataformas en línea (entrega a domicilio, vehículo con conductor, etc)",,137
34,0,Emploi & Economie,Réserver au moins 75% des marchés publics aux entreprises françaises,,Employment & Economy,At least 75% of public contracts to be reserved for French companies,,Empleo y Economía,Reservar al menos el 75% de la contratación pública a las empresas francesas,,68
35,1,Emploi & Economie,Augmenter le SMIC,"['1400€ net par mois', '1500€ net par mois']",Employment & Economy,Increase the minimum wage,"['1400 € per month net', '1500 € per month net']",Empleo y Economía,Aumentar el salario mínimo,"['1400 € neto por mes', '1500 € neto por mes']",17
36,0,Emploi & Economie,Interdire tout écart de salaire supérieur à un rapport de 1 à 20 dans une entreprise,,Employment & Economy,Prohibit any salary difference of more than 1 to 20 in a company,,Empleo y Economía,Prohibir cualquier brecha salarial de más de 1 a 20 en una empresa,,84
37,0,Finances Publiques & Dettes,Privatiser le service public audiovisuel,,Public Finances & Debts,Privatize the audiovisual public service,,Finanzas y Deuda Pública,Privatizar el servicio público audiovisual,,40
38,0,Finances Publiques & Dettes,"Nationaliser ou renationaliser certaines grandes entreprises, notamment Engie et Orange",,Public Finances & Debts,Nationalize or renationalize some large companies (EG Telecom / Orange),,Finanzas y Deuda Pública,"Nacionalizar o renacionalizar algunas grandes empresas (por ejemplo, Telecom / Orange)",,87
39,0,Environnement et Energie,Interdire la pratique de la chasse,,Environment and Energy,Forbid hunting,,Medio Ambiente y Energía,Prohibir la práctica de la caza,,34
40,0,Environnement et Energie,Développer une fiscalité décourageant l'obsolescence programmée,,Environment and Energy,Develop a taxation to discourage programmed obsolescence,,Medio Ambiente y Energía,Desarrollar un impuesto que desalente la obsolescencia programada,,63
41,0,Environnement et Energie,Interdire les pesticides jugés dangereux par l'Autorité Européenne de Sécurité des Aliments,,Environment and Energy,Ban dangerous pesticides (eg neonicotinoides),,Medio Ambiente y Energía,"Prohibir pesticidas peligrosos (por ejemplo, neonicotinoides)",,91
42,0,Environnement et Energie,Interdire les plastiques à usage unique,,Environment and Energy,Prohibit single-use plastics,,Medio Ambiente y Energía,Prohibir los plásticos de un solo uso,,39
43,0,Environnement et Energie,Développer davantage le parc nucléaire français,,Environment and Energy,Further develop the French nuclear park,,Medio Ambiente y Energía,Desarrollar aún más el parque nuclear Francés,,47
44,0,Environnement et Energie,S'engager vers 100% d'énergies renouvelables pour 2050,,Environment and Energy,Plan to use 100% renewable energies by 2050,,Medio Ambiente y Energía,Planificar el 100% de energías renovables para el 2050,,54
45,0,Environnement et Energie,Arrêter la construction d'éoliennes,,Environment and Energy,Stop the construction of wind turbines,,Medio Ambiente y Energía,Detener la construcción de aerogeneradores (turbinas eólicas),,35
46,0,"Interieur, Defense & Justice",Augmenter le budget de la recherche et du développement militaires,,"Interior, Defense & Justice",Increase the military's research and development budget,,"Interior, Defensa y Justicia",Aumentar el presupuesto de investigación y desarrollo militar,,66
47,0,"Interieur, Defense & Justice",S'abstenir de toute intervention militaire sans mandat de l’ONU,,"Interior, Defense & Justice",Refrain from any military intervention without the mandate of the United Nations,,"Interior, Defensa y Justicia",Abstenerse de cualquier intervención militar sin el mandato de la ONU,,63
48,0,"Interieur, Defense & Justice",Rétablissement des contrôles aux frontières par la sortie de la France des accords de Schengen,,"Interior, Defense & Justice",Restoration of border control by France leaving the Schengen agreements,,"Interior, Defensa y Justicia",Restablecimiento del control fronterizo por parte de Francia saliendo de los acuerdos de Schengen,,94
49,0,"Interieur, Defense & Justice",Supprimer le droit du sol,,"Interior, Defense & Justice",Abolition of the law of the soil,,"Interior, Defensa y Justicia",Abolición de la ley del suelo,,25
50,0,"Interieur, Defense & Justice",Interdire l'acquisition de la nationalité française autrement que par filiation ou par mérite,,"Interior, Defense & Justice",Acquisition of French nationality only by descent or by merit,,"Interior, Defensa y Justicia",Adquirir la nacionalidad francesa sólo por filiación o por mérito,,93
51,0,"Interieur, Defense & Justice",Limiter le regroupement familial ,,"Interior, Defense & Justice",Limit family reunification,,"Interior, Defensa y Justicia",Limitar la reunificación familiar,,33
52,0,"Interieur, Defense & Justice",Traiter les demandes d'asile uniquement depuis l'étranger,,"Interior, Defense & Justice",Only process asylum applications from abroad,,"Interior, Defensa y Justicia",Tratar las solicitudes de asilo solo desde el extranjero,,57
53,0,"Interieur, Defense & Justice",Créer un fichier des criminels et y inscrire les délinquants sexuels et les personnes condamnées pour harcèlement sexuel,,"Interior, Defense & Justice",Create a sex-offender registry,,"Interior, Defensa y Justicia",Crear un archivo criminal e incluir a los delincuentes sexuales y las personas condenadas por el acoso sexual,,120
54,0,"Interieur, Defense & Justice",Instaurer la prison à perpétuité sans libération anticipée,,"Interior, Defense & Justice",Restore the life sentences,,"Interior, Defensa y Justicia",Restaurar las cadenas perpetuas,,58
55,0,"Interieur, Defense & Justice",Abaisser l'âge de la majorité pénale de 18 à 16 ans,,"Interior, Defense & Justice",Lower the age of criminal responsibility from 18 to 16 years old,,"Interior, Defensa y Justicia",Reducir la mayoría de edad criminal de 18 a 16 años,,51
56,0,"Interieur, Defense & Justice",Expulser les délinquants étrangers à l’issue de leur peine,,"Interior, Defense & Justice",Deport foreign offenders at the end of their sentence,,"Interior, Defensa y Justicia",Deportar a los delincuentes extranjeros al final de su condena,,58
57,0,"Interieur, Defense & Justice",Interdire la reconnaissance faciale dans les espaces publics,,"Interior, Defense & Justice",Ban facial recognition in public spaces,,"Interior, Defensa y Justicia",Prohibir el reconocimiento facial en espacios públicos,,60
58,0,"Interieur, Defense & Justice",Expulser les étrangers dont le comportement participe de l’islamisme radical,,"Interior, Defense & Justice",Expel foreigners whose behavior is part of radical Islamism and who are registered in the anti-terrorism files,,"Interior, Defensa y Justicia",Expulsar a los extranjeros cuyo comportamiento se enmarque en el islamismo radical y que estén registrados en los archivos antiterroristas,,76
59,0,"Interieur, Defense & Justice",Créer des unités de police et des magistrats dédiés aux violences faites aux femmes,,"Interior, Defense & Justice",Create police units and magistrates dedicated to violence against women,,"Interior, Defensa y Justicia",Crear unidades de policía y magistrados dedicados a la violencia contra las mujeres,,83
60,0,"Interieur, Defense & Justice",Créer un nombre important de postes de policier et de gendarmes,,"Interior, Defense & Justice",Create a large number of police and militarized police positions,,"Interior, Defensa y Justicia",Crear un gran número de puestos policías y policías militarizados,,63
61,0,"Interieur, Defense & Justice",Fermer toute mosquée où un prédicateur tient un discours hostile aux valeurs de la République,,"Interior, Defense & Justice",Close any mosque where sermons are hostile to France and the values ​​of the Republic,,"Interior, Defensa y Justicia",Cerrar cualquier mezquita donde los predicadores hagan sermones hostiles a los valores de la República,,93
62,0,"Interieur, Defense & Justice",Utiliser la reconnaissance faciale à l'entrée des transports en commun pour mieux repérer les personnes recherchées,,"Interior, Defense & Justice",Use facial recognition at the entrance to public transport to better identify wanted people,,"Interior, Defensa y Justicia",Usar el reconocimiento facial en la entrada del transporte público para identificar mejor a las personas buscadas,,115
63,0,"Interieur, Defense & Justice",Interdire le burkini à la piscine municipale,,"Interior, Defense & Justice",Prohibit the burkini at municipal swimming pools,,"Interior, Defensa y Justicia",Prohibir Burkini en la piscina municipal,,44
64,0,"Interieur, Defense & Justice",Mettre en place un service national universel obligatoire,,"Interior, Defense & Justice",Establish a mandatory national civic service,,"Interior, Defensa y Justicia",Establecer un servicio nacional obligatorio universal,,57
65,0,"Interieur, Defense & Justice",Accélérer les procédures judiciaires: jugements en moins de six mois pour les délits du quotidien et en moins de 15 jours pour les violences conjugales,,"Interior, Defense & Justice",Lower times of legal proceedings: judgments in less than six months for everyday offenses and less than 15 days for domestic violence,,"Interior, Defensa y Justicia",Acelerar los procedimientos judiciales: juicios en menos de seis meses por los delitos de la vida cotidiana y menos de 15 días para la violencia doméstica,,151
66,0,Gouvernance & Republique,Elire l'Assemblée Nationale au scrutin proportionnel,,Governance & Republic,Elect the National Assembly by proportional voting,,Gobernanza y República,Eligir la Asamblea Nacional por voto proporcional,,52
67,0,Gouvernance & Republique,Rendre inéligible à vie toute personne condamnée pour corruption,,Governance & Republic,Make those convicted of corruption unable to run for office,,Gobernanza y República,Hacer inelegible de por vida a cualquier persona condenada por corrupción,,64
68,0,Gouvernance & Republique,Convoquer une Assemblée Constituante pour passer à la VIe République,,Governance & Republic,Create a Constituent Assembly to pass to the Sixth Republic,,Gobernanza y República,Convocar una asamblea constituyente para pasar a la Sexta República,,68
69,0,Gouvernance & Republique,Inscrire la protection de l'environnement dans la Constitution,,Governance & Republic,Include ecology in the Constitution,,Gobernanza y República,Añadir la protección del medio ambiente en la Constitución,,62
70,0,Gouvernance & Republique,Affirmer la supériorité du droit constitutionnel français sur le droit international,,Governance & Republic,"Engrave in the Constitution, after referendum, the superiority of French law over international law",,Gobernanza y República,Afirmar la superioridad del derecho constitucional francés sobre derecho internacional,,84
71,0,Gouvernance & Republique,Ajouter dans la Constitution le droit à l’interruption volontaire de grossesse,,Governance & Republic,Add to the Constitution the right to voluntary termination of pregnancy,,Gobernanza y República,Añadir a la Constitución el derecho a la interrupción voluntaria del embarazo,,78
72,0,Gouvernance & Republique,Instaurer le Référendum d'Initiative Citoyenne,,Governance & Republic,Establish a Citizens' Initiative Referendum,,Gobernanza y República,Establecer el referéndum de la iniciativa ciudadana,,46
73,0,Gouvernance & Republique,Instaurer une immigration choisie avec des quotas par métiers et par pays,,Governance & Republic,Introduce immigration quotas by profession and country,,Gobernanza y República,Establecer una inmigración elegida con oficios y cuotas de país,,73
74,0,Gouvernance & Republique,Reconnaître le vote blanc,,Governance & Republic,Recognition of the blank vote,,Gobernanza y República,Reconocer el voto blanco,,25
75,0,Gouvernance & Republique,Réinstaurer le septennat,,Governance & Republic,Reintroduce a seven-year presidential term,,Gobernanza y República,Reintroducir el mandato presidencial de siete años,,24
76,0,Gouvernance & Republique,Instaurer le droit de vote à 16 ans,,Governance & Republic,Give 16 year olds the right to vote ,,Gobernanza y República,Permitir el derecho a votar a los 16 años,,35
77,0,Gouvernance & Republique,Ouvrir le droit de vote des extra-européens aux élections locales,,Governance & Republic,Allow non-Europeans to vote in local elections,,Gobernanza y República,Permitir que los extraeuropeos voten en las elecciones locales,,65
78,0,Gouvernance & Republique,Soumettre les investissements étrangers à l'approbation d'un Haut Conseil de la souveraineté économique et numérique,,Governance & Republic,Submit foreign investments to the approval of a High Council for Economic and Digital Sovereignty,,Gobernanza y República,Someter las inversiones extranjeras a la aprobación de un Consejo Superior para la Soberanía Económica y Digital,,116
79,0,Fonction Publique,Rétablir l'Ecole Nationale d'Administration (ENA),,Public service,Restore ENA (the National School of Administration),,Servicio Público,Restaurar la ENA (la Escuela Nacional de Administración),,49
80,0,Fonction Publique,Revaloriser les salaires des gendarmes et policiers,,Public service,Raise the salaries of gendarmes and police officers,,Servicio Público,Revalorizar los salarios de los gendarmes y policías,,51
81,0,Fiscalité,Baisser la TVA sur les carburants,,Taxation,Lower VAT on fuels,,Impuestos,Reducir el IVA en los combustibles,,33
82,0,Fiscalité,Rétablir l’impôt de solidarité sur la fortune (ISF),,Taxation,Restore the solidarity tax on wealth (ISF),,Impuestos,Restaurar el impuesto de solidaridad en la fortuna (ISF),,51
83,0,Fiscalité,Supprimer la redevance télé,,Taxation,Remove of the TV licence fee,,Impuestos,Eliminar el impuesto de la televisión,,27
84,0,Fiscalité,Alléger l'impôt sur la fortune immobilière en l'exonérant de 50% de la valeur de la résidence principale,,Taxation,Reduce the IFI (Tax on real estate wealth) by exempting it from 50% of the main residence,,Impuestos,Reducir el IFI (Impuesto sobre la riqueza inmobiliaria) eximiéndolo del 50% de la vivienda habitual,,104
85,0,Fiscalité,Exonérer totalement les entrepreneurs de moins 30 ans de l’impôt sur les sociétés,,Taxation,Total corporate tax exemption for entrepreneurs under 30 years old,,Impuestos,Exención total de impuestos de sociedades para empresarios menores de 30 años,,81
86,0,Politiques Publiques,Créer un revenu citoyen,,Public policies,Create a citizen income,,Políticas Públicas,Crear un ingreso ciudadano,,23
87,0,Politiques Publiques,Légaliser le cannabis,,Public policies,Legalise cannabis,,Políticas Públicas,Legalizar la marihuana,,21
88,0,Social & Solidarité,Individualisation de l'impôt et fin du quotient conjugal,,Social & Solidarity,Make taxes individual by removing marital quotient,,Social y Solidaridad,Hacer que los impuestos sean individuales eliminando el cociente marital,,56
89,0,Politiques Publiques,Rembourser la PMA à toutes les femmes,,Public policies,Reimburse medically assisted procreation for all women,,Políticas Públicas,Reembolsar la procreación médicamente asistida para todas las mujeres,,37
90,0,Politiques Publiques,Permettre un changement de sexe dans l'état civil sur simple demande,,Public policies,Allow a change of sex in the civil status by a simple request,,Políticas Públicas,Permitir un cambio de sexo en el estado civil con una simple solicitud,,68
91,0,Politiques Publiques,Rembourser le processus de transition médicale des personnes transgenres,,Public policies,Reimburse the transition of trans people,,Políticas Públicas,Reembolsar de transición de las personas transexuales,,72
92,0,Politiques Publiques,Supprimer la tarification à l'acte à l'hôpital,,Public policies,Abolish fee-for-service pricing in hospitals,,Políticas Públicas,Abolir los precios de tarifa por servicio en los hospitales,,46
93,0,Politiques Publiques,Lever les brevets des vaccins contre le Covid-19,,Public policies,Lift patents for Covid-19 vaccines ,,Políticas Públicas,Liberar las patentes de la vacuna contra COVID-19,,48
94,0,"Interieur, Defense & Justice",Garantir le droit d'asile pour les réfugiés,,"Interior, Defense & Justice",Guarantee the rights of asylum for refugees,,"Interior, Defensa y Justicia",Garantizar el derecho de asilo para los refugiados,,43
95,0,"Interieur, Defense & Justice",Régulariser les sans-papiers,,"Interior, Defense & Justice",Regulate undocumented migrants,,"Interior, Defensa y Justicia",Regular a los migrantes indocumentados,,28
96,0,Politiques Publiques,Remplacer Parcoursup par un système plus transparent,,Public policies,Replace Parcoursup with a more transparent system,,Políticas Públicas,Reemplazar el Parcousup por un sistema más transparente,,52
97,0,Politiques Publiques,Consacrer 3 % du PIB à la recherche et au développement,,Public policies,Devote 3% of GDP to research and development,,Políticas Públicas,Dedicar el 3% del PIB a la investigación y el desarrollo,,55
98,0,"Interieur, Defense & Justice",Sortir du commandement intégré de l'OTAN,,"Interior, Defense & Justice",Leave NATO's Defence Planning Committee,,"Interior, Defensa y Justicia",Salir del mando integrado de la OTAN,,40
99,0,Politiques Publiques,Parachever l'autonomie des universités,,Public policies,Allow universities to have complete autonomy ,,Políticas Públicas,Permitir que las universidades tengan completa autonomía,,38
100,0,Politiques Publiques,Reprendre la réforme des retraites du gouvernement sortant,,Public policies,Continue the pension reform of the outgoing government,,Políticas Públicas,Reanudar la reforma de pensiones del gobierno saliente,,58
101,0,Politiques Publiques,Accroître l'industrialisation du pays,,Public policies,Increase the industrialization of the country,,Políticas Públicas,Aumentar la industrialización del país,,37
102,0,Politiques Publiques,Enseigner une seconde langue dès l'école primaire,,Public policies,Teach a second language from primary school,,Políticas Públicas,Enseñar un segundo idioma desde primaria,,49
103,0,Social & Solidarité,Augmenter le montant des APL,,Social & Solidarity,Increase the amount of APL (housing assistance) ,,Social y Solidaridad,Aumentar el monto de APL (asistencia a la vivienda),,28
104,0,Social & Solidarité,Mettre en place un prêt étudiant,,Social & Solidarity,Offer student loans,,Social y Solidaridad,Proponer un préstamo estudiantil,,32
105,0,Environnement et Energie,Defendre la chasse et la pêche,,Environment and Energy,Protect hunting and fishing rights,,Medio Ambiente y Energía,Defender la caza y la pesca,,30
106,0,"Interieur, Defense & Justice",Envoyer des armes à l'Ukraine,,"Interior, Defense & Justice",Send weapons to Ukraine,,"Interior, Defensa y Justicia",Enviar armas a Ucrania,,29
107,0,"Interieur, Defense & Justice",S'opposer à l'entrée de l'Ukraine dans l'OTAN,,"Interior, Defense & Justice",Oppose Ukraine's entry into NATO,,"Interior, Defensa y Justicia",Oponerse a la entrada de Ucrania en la OTAN,,45
108,0,Politiques Publiques,Défendre les langues et cultures régionales,,Public policies,Defend regional languages ​​and cultures,,Políticas Públicas,Defender las lenguas y culturas regionales,,43
109,0,Environnement et Energie,Combattre l'élevage et l'abattage intensifs,,Environment and Energy,Oppose intensive breeding and slaughter,,Medio Ambiente y Energía,Combatir la cría intensiva y el sacrificio de animales,,43
110,0,"Interieur, Defense & Justice",Ne pas envoyer des militaires français en Ukraine,,"Interior, Defense & Justice",Do not send French soldiers to Ukraine,,"Interior, Defensa y Justicia",No enviar soldados franceses a Ucrania,,49
111,0,"Interieur, Defense & Justice",Augmenter le budget de la défense au-delà de 2 % du PIB ,,"Interior, Defense & Justice",Increase the defense budget  by at least 2% of GDP,,"Interior, Defensa y Justicia",Aumentar el presupuesto de defensa más allá del 2% del PIB,,56
112,0,Politiques Publiques,Mettre 2 heures supplémentaires de sport par semaine au collège,,Public policies,Add 2 more hours of sport per week in school,,Políticas Públicas,Aumentar 2 horas más de deporte por semana en la escuela,,63
113,0,Politiques Publiques,Relocaliser en France la production de médicaments,,Public policies,Relocate the production of medicines to France,,Políticas Públicas,Trasladar la producción de medicamentos a Francia,,50
114,0,Emploi & Economie,Proposer un cumul emploi-retraite plus simple et plus avantageux,,Employment & Economy,Propose a simpler and more advantageous combination of employment and retirement,,Empleo y Economía,Proponer una combinación más sencilla y ventajosa de empleo y jubilación,,64
115,0,Territoires & Collectivités,"Simplifier le mille-feuille territorial  : les élus départementaux seront les mêmes que les élus régionaux, avec un seul « conseiller territorial »",,Territories & Communities,"Simplify the territorial mille-feuille: departmental elected officials will be the same as regional elected officials, with a single ""territorial adviser""",,Territorios y Comunidades,"Simplificar las milhojas territoriales: los electos departamentales serán los mismos que los electos regionales, con un solo “asesor territorial”",,147
116,0,Emploi & Economie,Baisser les charges des indépendants,,Employment & Economy,Lower the charges for the self-employed: income will increase by €550 per year when you earn the equivalent of the minimum wage,,Empleo y Economía,Bajar los cobros a los independientes,,36
117,0,Fiscalité,Limiter l'impôt sur les successions jusqu’à 150 000 € par enfant,,Taxation,"Limit inheritance tax up to €150,000 per child",,Impuestos,"Limitar el impuesto de sucesiones hasta 150,000 € por hijo",,64
118,0,Social & Solidarité,Conditionner le RSA à une activité effective qui permet l’insertion,,Social & Solidarity,Require activities that promote employability to obtain the RSA (income support),,Social y Solidaridad,Condicionar la RSA (renta laboral solidaria) a una actividad efectiva que permita la inserción,,67
119,0,Politiques Publiques,Généraliser l’enseignement de l'informatique et des usages du numériques à partir de la classe de cinqiuème,,Public policies,Generalize the teaching of computer code and digital uses from the 5th,,Políticas Públicas,Generalizar la enseñanza del código informático y los usos digitales a partir del 5º grado,,107
120,0,"Interieur, Defense & Justice",Priver de droits civiques ceux qui s’en prennent aux dépositaires de l’autorité publique,,"Interior, Defense & Justice",Disenfranchise those who attack those responsible for public authority,,"Interior, Defensa y Justicia",Privar de sus derechos civiles a quienes atacan a los responsables de la autoridad pública,,88
